null,dealstamp,cpty,"cptyname",cptycountry,cptyparent,"cptyparentname",cptyparentcountry,cptyparentrating,lastparent,"lastparentname",lastparentcountry,lastparentrating,instrumentname,"foldername",foldercountryname,valuedate,maturitydate,guaranteepercent_cpty,currency,nominalvaluecur,nominalvalue,oneoff,guaranteedparentrating,cer,recequivalente,recbruto,"lastparentfname","lastparentfcountryname",lastparentfrating,dispuesto,cer2,collateralagreement
0,'17020102,CVEX,"CONCESIONARIA VUELA COMPANIA DE AVIACION SAPI DE C",MX,CVEXG,"CONCESIONARIA VUELA COMPANIA AVIACION SAPI DE C,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,MONEY MARKET DEPOSITS,"MEXICO TESORERIA",Mexico,2022-04-21,2023-04-19,null,USD,555000.000000,555000.000000,0,null,0.000000,0.000000,0.000000,"VOLARIS","Mexico",5.0,-555000.000000,0.000000,null
0,'19611378,CVEX,"CONCESIONARIA VUELA COMPANIA DE AVIACION SAPI DE C",MX,CVEXG,"CONCESIONARIA VUELA COMPANIA AVIACION SAPI DE C,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,MONEY MARKET DEPOSITS,"MEXICO TESORERIA",Mexico,2022-08-26,2023-08-24,null,USD,844392.500000,844392.500000,0,null,0.000000,0.000000,0.000000,"VOLARIS","Mexico",5.0,-844392.500000,0.000000,null
0,'19611363,CVEX,"CONCESIONARIA VUELA COMPANIA DE AVIACION SAPI DE C",MX,CVEXG,"CONCESIONARIA VUELA COMPANIA AVIACION SAPI DE C,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,MONEY MARKET DEPOSITS,"MEXICO TESORERIA",Mexico,2022-08-26,2023-08-24,null,USD,30940.000000,30940.000000,0,null,0.000000,0.000000,0.000000,"VOLARIS","Mexico",5.0,-30940.000000,0.000000,null
0,'15706736,CVEX,"CONCESIONARIA VUELA COMPANIA DE AVIACION SAPI DE C",MX,CVEXG,"CONCESIONARIA VUELA COMPANIA AVIACION SAPI DE C,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,MONEY MARKET DEPOSITS,"MEXICO TESORERIA",Mexico,2021-10-06,2022-10-07,null,USD,844392.500000,844392.500000,0,null,0.000000,0.000000,0.000000,"VOLARIS","Mexico",5.0,-844392.500000,0.000000,null
0,'15700227,CVEX,"CONCESIONARIA VUELA COMPANIA DE AVIACION SAPI DE C",MX,CVEXG,"CONCESIONARIA VUELA COMPANIA AVIACION SAPI DE C,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,MONEY MARKET DEPOSITS,"MEXICO TESORERIA",Mexico,2022-01-25,2023-01-19,null,USD,4385169.070000,4385169.070000,0,null,0.000000,0.000000,0.000000,"VOLARIS","Mexico",5.0,-4385169.070000,0.000000,null
0,'15706832,CVEX,"CONCESIONARIA VUELA COMPANIA DE AVIACION SAPI DE C",MX,CVEXG,"CONCESIONARIA VUELA COMPANIA AVIACION SAPI DE C,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,MONEY MARKET DEPOSITS,"MEXICO TESORERIA",Mexico,2021-10-06,2022-10-07,null,USD,238000.000000,238000.000000,0,null,0.000000,0.000000,0.000000,"VOLARIS","Mexico",5.0,-238000.000000,0.000000,null
0,'20085468,00D7SZ,"CIBANCO SA IBM FIDEICOMISO CIB 3249",MX,D7SZG,"CIBANCO SA IBM FIDEICOMISO CIB 3249, GR",MX,null,VLRIG,"VOLARIS",MX,5.0,BOND REPOS,"MEXICO TESORERIA",Mexico,2022-09-09,2022-09-12,null,MXN,950095.510000,47785.053675,0,null,0.000000,79.831075,290.111800,"VOLARIS","Mexico",5.0,-5.301907,0.000000,null
0,'16160813,CVEX,"CONCESIONARIA VUELA COMPANIA DE AVIACION SAPI DE C",MX,CVEXG,"CONCESIONARIA VUELA COMPANIA AVIACION SAPI DE C,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,MONEY MARKET DEPOSITS,"MEXICO TESORERIA",Mexico,2022-02-24,2023-02-21,null,USD,555000.000000,555000.000000,0,null,0.000000,0.000000,0.000000,"VOLARIS","Mexico",5.0,-555000.000000,0.000000,null
0,'16219140,CVEX,"CONCESIONARIA VUELA COMPANIA DE AVIACION SAPI DE C",MX,CVEXG,"CONCESIONARIA VUELA COMPANIA AVIACION SAPI DE C,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,MONEY MARKET DEPOSITS,"MEXICO TESORERIA",Mexico,2022-03-01,2023-02-24,null,USD,3614413.540000,3614413.540000,0,null,0.000000,0.000000,0.000000,"VOLARIS","Mexico",5.0,-3614413.540000,0.000000,null
0,'19611289,CVEX,"CONCESIONARIA VUELA COMPANIA DE AVIACION SAPI DE C",MX,CVEXG,"CONCESIONARIA VUELA COMPANIA AVIACION SAPI DE C,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,MONEY MARKET DEPOSITS,"MEXICO TESORERIA",Mexico,2022-08-26,2023-08-24,null,USD,4777084.890000,4777084.890000,0,null,0.000000,0.000000,0.000000,"VOLARIS","Mexico",5.0,-4777084.890000,0.000000,null
